ESTACIONES,MES,AÑO,PRECIP. MES (mm.),ANOMALIA RESPEC. PROMEDIO CLIMATOLOGICO,% RESPECTO PROMEDIO CLIMATOLOGICO,PREC. ACUM. AÑO AGRIC. (mm.),% RESPECTO PROMEDIO CLIMATOLOGICO,Tª  MÁXIMA ABSOL (ºC),Tª  MINIMA ABSOL. (ºC),TEMP. MEDIA DE MEDIAS (ºC),ANOMALIA (ºC)
AINSA,10,2017,28.8,-77.7,27,49,24.5,28.8,3.9,16.1,2.4
AINSA,12,2017,86,1.1,101.3,150.6,39.6,16.5,-4.9,3.8,-0.6
AINSA,6,2017,86.6,12.23,116.444803011967,730.2,91.9685964985935,37.1,8,22.7,2.35533333333333
AINSA,7,2017,84.4,19.81,130.670382412138,814.6,94.880167102152,35.1,8,24,0.916666666666668
AINSA,11,2017,15.6,-80.1,16.3,64.6,21.9,20.3,-3,8.4,0.3
AINSA,4,2017,19,-73.08,20.6342311033884,553.2,89.6809614386996,27.2,-1,13,1.49
AINSA,9,2017,20.2,-73,21.7,20.2,21.7,32.1,4.8,18.1,-0.1
AINSA,3,2017,106.6,56.56,213.029576338929,534.2,101.796331114386,25,-1.9,10.8,1085
AINSA,2,2017,102.4,63.7466666666667,264.918937564678,427.6,90.0716191546131,19.3,-1.9,7.5,1.65666666666667
AINSA,1,2017,30.2,-25.6366666666667,54.0863232045848,325.2,74.5734727572922,16.2,-7.7,3.6,-185
AINSA,8,2017,33.6,-25.6133333333333,56.743976581851,848.2,92.4196694160846,36.8,8.3,23.8,0.633333333333329
AINSA,5,2017,90.4,-12.3433333333333,87.9862440385427,643.6,89.4389912867856,30.5,1.3,17,2
ALBARRACÍN,7,2017,12.6,-5.4,70,316.5,85.7723577235773,36.8,6.6,22.4,1.4
ALBARRACÍN,8,2017,40,10.9,137.45704467354,356.7,89.6006028636021,34.7,7.8,22.1,1.4
ALBARRACÍN,6,2017,67.4,26.6,165.196078431373,303.9,86.5811965811966,35.2,6.3,20.6,3.2
ALBARRACÍN,11,2017,5.8,-24,19.5,27,24.7,19,-7.7,6.6,0.2
ALBARRACÍN,3,2017,44.8,22.1,197.356828193833,185.1,88.5222381635581,25,-2.9,8.7,1.8
ALBARRACÍN,9,2017,9.4,-27.7,25.3,9.4,25.3,29.3,1.6,16.2,-0.1
ALBARRACÍN,10,2017,11.8,-30.5,27.9,21.2,26.7,27.9,0.4,14.1,2.8
ALBARRACÍN,4,2017,12,-30,28.5714285714286,197.1,78.494623655914,24.1,-3,10.0566666666667,1.39333333333334
ALBARRACÍN,1,2017,9.1,-13.8,39.7379912663755,121.1,72.9518072289157,14.5,-11.3,2.4,-0.5
ALBARRACÍN,12,2017,15,-18.9,44.2,42,29.4,15.8,-6.5,3.7,0.3
ALBARRACÍN,5,2017,39.4,-19.7,66.6666666666667,236.5,76.2411347517731,29.6,-0.6,15.4,2.6
ALBARRACÍN,2,2017,19.2,-1.2,94.1176470588235,140.3,75.2682403433476,19,-4.2,6.1,1.7
ALCAÑIZ,8,2017,31.3,6,123.715415019763,357.4,106.242568370987,38.2,10.4,24.2,0.699999999999999
ALCAÑIZ,2,2017,23.8,5.2,127.956989247312,173,103.283582089552,18.8,-1.8,8.6,1
ALCAÑIZ,7,2017,23.8,8,150.632911392405,326.1,104.821600771456,37.8,12.2,24.8,1.1
ALCAÑIZ,3,2017,36.2,16.3,181.909547738694,209.2,111.632870864461,27.1,1,11.7,1.7
ALCAÑIZ,6,2017,52,26.6,204.724409448819,302.3,102.370470707755,37.8,9.7,23.9,3.2
ALCAÑIZ,10,2017,10,-30.4,24.8,19.4,26.3,28.7,4,16.6,2.4
ALCAÑIZ,9,2017,9.4,-23.9,28.2,9.4,28.2,31.5,5.7,18.3,-0.7
ALCAÑIZ,4,2017,10,-23,30.3030303030303,219.2,99.4555353901997,28.5,-0.2,13.2416666666667,0.743666666666664
ALCAÑIZ,11,2017,2,-27.3,6.8,21.4,20.8,21.2,-3.9,9.2,0.2
ALCAÑIZ,5,2017,31.1,-18.4,62.8282828282828,250.3,92.7380511300482,34.4,2.3,18.7,2.6
ALCAÑIZ,12,2017,1.9,-20.6,8.4,23.3,18.6,19.1,-6.4,6.2,0.1
ALCAÑIZ,1,2017,19.6,-3.8,83.7606837606838,149.2,100.201477501679,17.5,-6,5.2,-0.4
ALHAMA DE ARAGON,2,2017,29.6,6.5,128.138528138528,133.4,68.4102564102564,22,-3.2,7.8,1.9
ALHAMA DE ARAGON,11,2017,4.8,-28.2,14.5,13,11.5,22.7,-6.8,8.5,0.2
ALHAMA DE ARAGON,9,2017,5.4,-29.4,15.5,5.4,15.5,33.1,3.2,18.5,-0.1
ALHAMA DE ARAGON,4,2017,10.6,-41.5,20.3454894433781,163.2,60.5341246290801,30.2,-2.9,12.9,2.2
ALHAMA DE ARAGON,6,2017,83,42.7,205.955334987593,296.2,77.8858795687615,39,8.6,23.7,4
